d1: -30.4468, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -30.9888, 4.8768, -8.84089
d4: -26.0096, 4.64646, -1.99414
d1: -30.4154, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -30.9606, 4.8768, -8.85472
d4: -26.0096, 4.66312, -1.96749
d1: -30.3832, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -30.9316, 4.8768, -8.86887
d4: -26.0096, 4.68018, -1.94019
d1: -30.3514, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -30.903, 4.8768, -8.88289
d4: -26.0096, 4.69707, -1.91316
d1: -30.3196, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -30.8745, 4.8768, -8.89688
d4: -26.0096, 4.71392, -1.88621
d1: -30.2874, 1.6256, -11.3792
